	数字1		数字2		数字3		平均值		出现概率	
	1		10		19		10.0		0.0135706340378198	
	1		10		20		10.333333333333334		0.014460511679644048	
	1		10		21		10.666666666666666		0.01557285873192436	
	1		10		22		11.0		0.01668520578420467	
	1		10		23		11.333333333333334		0.017797552836484983	
	1		10		24		11.666666666666666		0.018687430478309234	
	1		10		25		12.0		0.019799777530589546	
	1		10		26		12.333333333333334		0.020467185761957732	
	1		10		27		12.666666666666666		0.02135706340378198	
	1		10		28		13.0		0.022024471635150165	
	1		10		29		13.333333333333334		0.022691879866518355	
	1		10		30		13.666666666666666		0.023136818687430477	
	1		10		31		14.0		0.023804226918798667	
	1		11		12		8.0		0.008231368186874305	
	1		11		13		8.333333333333334		0.008898776418242492	
	1		11		14		8.666666666666666		0.00978865406006674	
	1		11		15		9.0		0.01067853170189099	
	1		11		16		9.333333333333334		0.011568409343715239	
	1		11		17		9.666666666666666		0.012458286985539488	
	1		11		18		10.0		0.0135706340378198	
	1		11		19		10.333333333333334		0.014460511679644048	
	1		11		20		10.666666666666666		0.01557285873192436	
	1		11		21		11.0		0.01668520578420467	
	1		11		22		11.333333333333334		0.017797552836484983	
	1		11		23		11.666666666666666		0.018687430478309234	
	1		11		24		12.0		0.019799777530589546	
	1		11		25		12.333333333333334		0.020467185761957732	
	1		11		26		12.666666666666666		0.02135706340378198	
	1		11		27		13.0		0.022024471635150165	
	1		11		28		13.333333333333334		0.022691879866518355	
	1		11		29		13.666666666666666		0.023136818687430477	
	1		11		30		14.0		0.023804226918798667	
	1		11		31		14.333333333333334		0.024026696329254728	
	1		12		13		8.666666666666666		0.00978865406006674	
	1		12		14		9.0		0.01067853170189099	
	1		12		15		9.333333333333334		0.011568409343715239	
	1		12		16		9.666666666666666		0.012458286985539488	
	1		12		17		10.0		0.0135706340378198	
	1		12		18		10.333333333333334		0.014460511679644048	
	1		12		19		10.666666666666666		0.01557285873192436	
	1		12		20		11.0		0.01668520578420467	
	1		12		21		11.333333333333334		0.017797552836484983	
	1		12		22		11.666666666666666		0.018687430478309234	
	1		12		23		12.0		0.019799777530589546	
	1		12		24		12.333333333333334		0.020467185761957732	
	1		12		25		12.666666666666666		0.02135706340378198	
	1		12		26		13.0		0.022024471635150165	
	1		12		27		13.333333333333334		0.022691879866518355	
	1		12		28		13.666666666666666		0.023136818687430477	
	1		12		29		14.0		0.023804226918798667	
	1		12		30		14.333333333333334		0.024026696329254728	
	1		12		31		14.666666666666666		0.024471635150166853	
	1		13		14		9.333333333333334		0.011568409343715239	
	1		13		15		9.666666666666666		0.012458286985539488	
	1		13		16		10.0		0.0135706340378198	
	1		13		17		10.333333333333334		0.014460511679644048	
	1		13		18		10.666666666666666		0.01557285873192436	
	1		13		19		11.0		0.01668520578420467	
	1		13		20		11.333333333333334		0.017797552836484983	
	1		13		21		11.666666666666666		0.018687430478309234	
	1		13		22		12.0		0.019799777530589546	
	1		13		23		12.333333333333334		0.020467185761957732	
	1		13		24		12.666666666666666		0.02135706340378198	
	1		13		25		13.0		0.022024471635150165	
	1		13		26		13.333333333333334		0.022691879866518355	
	1		13		27		13.666666666666666		0.023136818687430477	
	1		13		28		14.0		0.023804226918798667	
	1		13		29		14.333333333333334		0.024026696329254728	
	1		13		30		14.666666666666666		0.024471635150166853	
	1		13		31		15.0		0.024694104560622914	
	1		14		15		10.0		0.0135706340378198	
	1		14		16		10.333333333333334		0.014460511679644048	
	1		14		17		10.666666666666666		0.01557285873192436	
	1		14		18		11.0		0.01668520578420467	
	1		14		19		11.333333333333334		0.017797552836484983	
	1		14		20		11.666666666666666		0.018687430478309234	
	1		14		21		12.0		0.019799777530589546	
	1		14		22		12.333333333333334		0.020467185761957732	
	1		14		23		12.666666666666666		0.02135706340378198	
	1		14		24		13.0		0.022024471635150165	
	1		14		25		13.333333333333334		0.022691879866518355	
	1		14		26		13.666666666666666		0.023136818687430477	
	1		14		27		14.0		0.023804226918798667	
	1		14		28		14.333333333333334		0.024026696329254728	
	1		14		29		14.666666666666666		0.024471635150166853	
	1		14		30		15.0		0.024694104560622914	
	1		14		31		15.333333333333334		0.024916573971078975	
	1		15		16		10.666666666666666		0.01557285873192436	
	1		15		17		11.0		0.01668520578420467	
	1		15		18		11.333333333333334		0.017797552836484983	
	1		15		19		11.666666666666666		0.018687430478309234	
	1		15		20		12.0		0.019799777530589546	
	1		15		21		12.333333333333334		0.020467185761957732	
	1		15		22		12.666666666666666		0.02135706340378198	
	1		15		23		13.0		0.022024471635150165	
	1		15		24		13.333333333333334		0.022691879866518355	
	1		15		25		13.666666666666666		0.023136818687430477	
	1		15		26		14.0		0.023804226918798667	
	1		15		27		14.333333333333334		0.024026696329254728	
	1		15		28		14.666666666666666		0.024471635150166853	
	1		15		29		15.0		0.024694104560622914	
	1		15		30		15.333333333333334		0.024916573971078975	
	1		15		31		15.666666666666666		0.024916573971078975	
	1		16		17		11.333333333333334		0.017797552836484983	
	1		16		18		11.666666666666666		0.018687430478309234	
	1		16		19		12.0		0.019799777530589546	
	1		16		20		12.333333333333334		0.020467185761957732	
	1		16		21		12.666666666666666		0.02135706340378198	
	1		16		22		13.0		0.022024471635150165	
	1		16		23		13.333333333333334		0.022691879866518355	
	1		16		24		13.666666666666666		0.023136818687430477	
	1		16		25		14.0		0.023804226918798667	
	1		16		26		14.333333333333334		0.024026696329254728	
	1		16		27		14.666666666666666		0.024471635150166853	
	1		16		28		15.0		0.024694104560622914	
	1		16		29		15.333333333333334		0.024916573971078975	
	1		16		30		15.666666666666666		0.024916573971078975	
	1		16		31		16.0		0.02513904338153504	
	1		17		18		12.0		0.019799777530589546	
	1		17		19		12.333333333333334		0.020467185761957732	
	1		17		20		12.666666666666666		0.02135706340378198	
	1		17		21		13.0		0.022024471635150165	
	1		17		22		13.333333333333334		0.022691879866518355	
	1		17		23		13.666666666666666		0.023136818687430477	
	1		17		24		14.0		0.023804226918798667	
	1		17		25		14.333333333333334		0.024026696329254728	
	1		17		26		14.666666666666666		0.024471635150166853	
	1		17		27		15.0		0.024694104560622914	
	1		17		28		15.333333333333334		0.024916573971078975	
	1		17		29		15.666666666666666		0.024916573971078975	
	1		17		30		16.0		0.02513904338153504	
	1		17		31		16.333333333333332		0.024916573971078975	
	1		18		19		12.666666666666666		0.02135706340378198	
	1		18		20		13.0		0.022024471635150165	
	1		18		21		13.333333333333334		0.022691879866518355	
	1		18		22		13.666666666666666		0.023136818687430477	
	1		18		23		14.0		0.023804226918798667	
	1		18		24		14.333333333333334		0.024026696329254728	
	1		18		25		14.666666666666666		0.024471635150166853	
	1		18		26		15.0		0.024694104560622914	
	1		18		27		15.333333333333334		0.024916573971078975	
	1		18		28		15.666666666666666		0.024916573971078975	
	1		18		29		16.0		0.02513904338153504	
	1		18		30		16.333333333333332		0.024916573971078975	
	1		18		31		16.666666666666668		0.024916573971078975	
	1		19		20		13.333333333333334		0.022691879866518355	
	1		19		21		13.666666666666666		0.023136818687430477	
	1		19		22		14.0		0.023804226918798667	
	1		19		23		14.333333333333334		0.024026696329254728	
	1		19		24		14.666666666666666		0.024471635150166853	
	1		19		25		15.0		0.024694104560622914	
	1		19		26		15.333333333333334		0.024916573971078975	
	1		19		27		15.666666666666666		0.024916573971078975	
	1		19		28		16.0		0.02513904338153504	
	1		19		29		16.333333333333332		0.024916573971078975	
	1		19		30		16.666666666666668		0.024916573971078975	
	1		19		31		17.0		0.024694104560622914	
	1		20		21		14.0		0.023804226918798667	
	1		20		22		14.333333333333334		0.024026696329254728	
	1		20		23		14.666666666666666		0.024471635150166853	
	1		20		24		15.0		0.024694104560622914	
	1		20		25		15.333333333333334		0.024916573971078975	
	1		20		26		15.666666666666666		0.024916573971078975	
	1		20		27		16.0		0.02513904338153504	
	1		20		28		16.333333333333332		0.024916573971078975	
	1		20		29		16.666666666666668		0.024916573971078975	
	1		20		30		17.0		0.024694104560622914	
	1		20		31		17.333333333333332		0.024471635150166853	
	1		21		22		14.666666666666666		0.024471635150166853	
	1		21		23		15.0		0.024694104560622914	
	1		21		24		15.333333333333334		0.024916573971078975	
	1		21		25		15.666666666666666		0.024916573971078975	
	1		21		26		16.0		0.02513904338153504	
	1		21		27		16.333333333333332		0.024916573971078975	
	1		21		28		16.666666666666668		0.024916573971078975	
	1		21		29		17.0		0.024694104560622914	
	1		21		30		17.333333333333332		0.024471635150166853	
	1		21		31		17.666666666666668		0.024026696329254728	
	1		22		23		15.333333333333334		0.024916573971078975	
	1		22		24		15.666666666666666		0.024916573971078975	
	1		22		25		16.0		0.02513904338153504	
	1		22		26		16.333333333333332		0.024916573971078975	
	1		22		27		16.666666666666668		0.024916573971078975	
	1		22		28		17.0		0.024694104560622914	
	1		22		29		17.333333333333332		0.024471635150166853	
	1		22		30		17.666666666666668		0.024026696329254728	
	1		22		31		18.0		0.023804226918798667	
	1		23		24		16.0		0.02513904338153504	
	1		23		25		16.333333333333332		0.024916573971078975	
	1		23		26		16.666666666666668		0.024916573971078975	
	1		23		27		17.0		0.024694104560622914	
	1		23		28		17.333333333333332		0.024471635150166853	
	1		23		29		17.666666666666668		0.024026696329254728	
	1		23		30		18.0		0.023804226918798667	
	1		23		31		18.333333333333332		0.023136818687430477	
	1		24		25		16.666666666666668		0.024916573971078975	
	1		24		26		17.0		0.024694104560622914	
	1		24		27		17.333333333333332		0.024471635150166853	
	1		24		28		17.666666666666668		0.024026696329254728	
	1		24		29		18.0		0.023804226918798667	
	1		24		30		18.333333333333332		0.023136818687430477	
	1		24		31		18.666666666666668		0.022691879866518355	
	1		25		26		17.333333333333332		0.024471635150166853	
	1		25		27		17.666666666666668		0.024026696329254728	
	1		25		28		18.0		0.023804226918798667	
	1		25		29		18.333333333333332		0.023136818687430477	
	1		25		30		18.666666666666668		0.022691879866518355	
	1		25		31		19.0		0.022024471635150165	
	1		26		27		18.0		0.023804226918798667	
	1		26		28		18.333333333333332		0.023136818687430477	
	1		26		29		18.666666666666668		0.022691879866518355	
	1		26		30		19.0		0.022024471635150165	
	1		26		31		19.333333333333332		0.02135706340378198	
	1		27		28		18.666666666666668		0.022691879866518355	
	1		27		29		19.0		0.022024471635150165	
	1		27		30		19.333333333333332		0.02135706340378198	
	1		27		31		19.666666666666668		0.020467185761957732	
	1		28		29		19.333333333333332		0.02135706340378198	
	1		28		30		19.666666666666668		0.020467185761957732	
	1		28		31		20.0		0.019799777530589546	
	1		29		30		20.0		0.019799777530589546	
	1		29		31		20.333333333333332		0.018687430478309234	
	1		30		31		20.666666666666668		0.017797552836484983	
	2		3		4		3.0		6.674082313681868E-4	
	2		3		5		3.3333333333333335		8.898776418242492E-4	
	2		3		6		3.6666666666666665		0.0011123470522803114	
	2		3		7		4.0		0.001557285873192436	
	2		3		8		4.333333333333333		0.0017797552836484984	
	2		3		9		4.666666666666667		0.002224694104560623	
	2		3		10		5.0		0.0026696329254727474	
	2		3		11		5.333333333333333		0.003114571746384872	
	2		3		12		5.666666666666667		0.003559510567296997	
	2		3		13		6.0		0.004226918798665183	
	2		3		14		6.333333333333333		0.0046718576195773085	
	2		3		15		6.666666666666667		0.005339265850945495	
	2		3		16		7.0		0.006006674082313682	
	2		3		17		7.333333333333333		0.006674082313681869	
	2		3		18		7.666666666666667		0.007341490545050055	
	2		3		19		8.0		0.008231368186874305	
	2		3		20		8.333333333333334		0.008898776418242492	
	2		3		21		8.666666666666666		0.00978865406006674	
	2		3		22		9.0		0.01067853170189099	
	2		3		23		9.333333333333334		0.011568409343715239	
	2		3		24		9.666666666666666		0.012458286985539488	
	2		3		25		10.0		0.0135706340378198	
	2		3		26		10.333333333333334		0.014460511679644048	
	2		3		27		10.666666666666666		0.01557285873192436	
	2		3		28		11.0		0.01668520578420467	
	2		3		29		11.333333333333334		0.017797552836484983	
	2		3		30		11.666666666666666		0.018687430478309234	
	2		3		31		12.0		0.019799777530589546	
	2		4		5		3.6666666666666665		0.0011123470522803114	
	2		4		6		4.0		0.001557285873192436	
	2		4		7		4.333333333333333		0.0017797552836484984	
	2		4		8		4.666666666666667		0.002224694104560623	
	2		4		9		5.0		0.0026696329254727474	
	2		4		10		5.333333333333333		0.003114571746384872	
	2		4		11		5.666666666666667		0.003559510567296997	
	2		4		12		6.0		0.004226918798665183	
	2		4		13		6.333333333333333		0.0046718576195773085	
	2		4		14		6.666666666666667		0.005339265850945495	
	2		4		15		7.0		0.006006674082313682	
	2		4		16		7.333333333333333		0.006674082313681869	
	2		4		17		7.666666666666667		0.007341490545050055	
	2		4		18		8.0		0.008231368186874305	
	2		4		19		8.333333333333334		0.008898776418242492	
	2		4		20		8.666666666666666		0.00978865406006674	
	2		4		21		9.0		0.01067853170189099	
	2		4		22		9.333333333333334		0.011568409343715239	
	2		4		23		9.666666666666666		0.012458286985539488	
	2		4		24		10.0		0.0135706340378198	
	2		4		25		10.333333333333334		0.014460511679644048	
	2		4		26		10.666666666666666		0.01557285873192436	
	2		4		27		11.0		0.01668520578420467	
	2		4		28		11.333333333333334		0.017797552836484983	
	2		4		29		11.666666666666666		0.018687430478309234	
	2		4		30		12.0		0.019799777530589546	
	2		4		31		12.333333333333334		0.020467185761957732	
	2		5		6		4.333333333333333		0.0017797552836484984	
	2		5		7		4.666666666666667		0.002224694104560623	
	2		5		8		5.0		0.0026696329254727474	
	2		5		9		5.333333333333333		0.003114571746384872	
	2		5		10		5.666666666666667		0.003559510567296997	
	2		5		11		6.0		0.004226918798665183	
	2		5		12		6.333333333333333		0.0046718576195773085	
	2		5		13		6.666666666666667		0.005339265850945495	
	2		5		14		7.0		0.006006674082313682	
	2		5		15		7.333333333333333		0.006674082313681869	
	2		5		16		7.666666666666667		0.007341490545050055	
	2		5		17		8.0		0.008231368186874305	
	2		5		18		8.333333333333334		0.008898776418242492	
	2		5		19		8.666666666666666		0.00978865406006674	
	2		5		20		9.0		0.01067853170189099	
	2		5		21		9.333333333333334		0.011568409343715239	
	2		5		22		9.666666666666666		0.012458286985539488	
	2		5		23		10.0		0.0135706340378198	
	2		5		24		10.333333333333334		0.014460511679644048	
	2		5		25		10.666666666666666		0.01557285873192436	
	2		5		26		11.0		0.01668520578420467	
	2		5		27		11.333333333333334		0.017797552836484983	
	2		5		28		11.666666666666666		0.018687430478309234	
	2		5		29		12.0		0.019799777530589546	
	2		5		30		12.333333333333334		0.020467185761957732	
	2		5		31		12.666666666666666		0.02135706340378198	
	2		6		7		5.0		0.0026696329254727474	
	2		6		8		5.333333333333333		0.003114571746384872	
	2		6		9		5.666666666666667		0.003559510567296997	
	2		6		10		6.0		0.004226918798665183	
	2		6		11		6.333333333333333		0.0046718576195773085	
	2		6		12		6.666666666666667		0.005339265850945495	
	2		6		13		7.0		0.006006674082313682	
	2		6		14		7.333333333333333		0.006674082313681869	
	2		6		15		7.666666666666667		0.007341490545050055	
	2		6		16		8.0		0.008231368186874305	
	2		6		17		8.333333333333334		0.008898776418242492	
	2		6		18		8.666666666666666		0.00978865406006674	
	2		6		19		9.0		0.01067853170189099	
	2		6		20		9.333333333333334		0.011568409343715239	
	2		6		21		9.666666666666666		0.012458286985539488	
	2		6		22		10.0		0.0135706340378198	
	2		6		23		10.333333333333334		0.014460511679644048	
	2		6		24		10.666666666666666		0.01557285873192436	
	2		6		25		11.0		0.01668520578420467	
	2		6		26		11.333333333333334		0.017797552836484983	
	2		6		27		11.666666666666666		0.018687430478309234	
	2		6		28		12.0		0.019799777530589546	
	2		6		29		12.333333333333334		0.020467185761957732	
	2		6		30		12.666666666666666		0.02135706340378198	
	2		6		31		13.0		0.022024471635150165	
	2		7		8		5.666666666666667		0.003559510567296997	
	2		7		9		6.0		0.004226918798665183	
	2		7		10		6.333333333333333		0.0046718576195773085	
	2		7		11		6.666666666666667		0.005339265850945495	
	2		7		12		7.0		0.006006674082313682	
	2		7		13		7.333333333333333		0.006674082313681869	
	2		7		14		7.666666666666667		0.007341490545050055	
	2		7		15		8.0		0.008231368186874305	
	2		7		16		8.333333333333334		0.008898776418242492	
	2		7		17		8.666666666666666		0.00978865406006674	
	2		7		18		9.0		0.01067853170189099	
	2		7		19		9.333333333333334		0.011568409343715239	
	2		7		20		9.666666666666666		0.012458286985539488	
	2		7		21		10.0		0.0135706340378198	
	2		7		22		10.333333333333334		0.014460511679644048	
	2		7		23		10.666666666666666		0.01557285873192436	
	2		7		24		11.0		0.01668520578420467	
	2		7		25		11.333333333333334		0.017797552836484983	
	2		7		26		11.666666666666666		0.018687430478309234	
	2		7		27		12.0		0.019799777530589546	
	2		7		28		12.333333333333334		0.020467185761957732	
	2		7		29		12.666666666666666		0.02135706340378198	
	2		7		30		13.0		0.022024471635150165	
	2		7		31		13.333333333333334		0.022691879866518355	
	2		8		9		6.333333333333333		0.0046718576195773085	
	2		8		10		6.666666666666667		0.005339265850945495	
	2		8		11		7.0		0.006006674082313682	
	2		8		12		7.333333333333333		0.006674082313681869	
	2		8		13		7.666666666666667		0.007341490545050055	
	2		8		14		8.0		0.008231368186874305	
	2		8		15		8.333333333333334		0.008898776418242492	
	2		8		16		8.666666666666666		0.00978865406006674	
	2		8		17		9.0		0.01067853170189099	
	2		8		18		9.333333333333334		0.011568409343715239	
	2		8		19		9.666666666666666		0.012458286985539488	
	2		8		20		10.0		0.0135706340378198	
	2		8		21		10.333333333333334		0.014460511679644048	
	2		8		22		10.666666666666666		0.01557285873192436	
	2		8		23		11.0		0.01668520578420467	
	2		8		24		11.333333333333334		0.017797552836484983	
	2		8		25		11.666666666666666		0.018687430478309234	
	2		8		26		12.0		0.019799777530589546	
	2		8		27		12.333333333333334		0.020467185761957732	
